symbol,interval,time,close,rsi,stochRsi,k,d
LTCEUR,1M,2026-07-31T23:59:59.999Z,38.38,36.7792,0.0535,0.0178,0.0133
ETHEUR,1M,2026-07-31T23:59:59.999Z,1614.50,42.9880,0.1380,0.0626,0.0734
BCHEUR,1w,2026-08-02T23:59:59.999Z,184.20,30.6780,0.3130,0.3239,0.3555
AVAXEUR,1d,2026-08-04T23:59:59.999Z,5.80,52.2981,0.8668,0.7163,0.4740
WINEUR,1w,2026-08-02T23:59:59.999Z,0.00,60.3653,1.0000,1.0000,1.0000
ICPEUR,1h,2026-08-05T07:59:59.999Z,1.84,57.8460,0.8161,0.9083,0.7278
YFIEUR,1h,2023-10-13T05:59:59.999Z,4835.00,50.7894,0.8404,0.8404,0.8936
HOTEUR,1w,2023-04-02T23:59:59.999Z,0.00,47.4727,0.7086,0.6411,0.5714
ARBEUR,1h,2026-04-17T01:59:59.999Z,0.11,56.5173,0.0000,0.1140,0.1671
VETEUR,1w,2026-08-02T23:59:59.999Z,0.00,30.3128,0.2571,0.2637,0.2701
WLDEUR,1d,2026-08-04T23:59:59.999Z,0.28,38.3900,0.5639,0.5303,0.3357
PNUTEUR,1h,2026-02-03T06:59:59.999Z,0.05,49.5921,0.3794,0.2791,0.1526
SEUR,1w,2026-08-02T23:59:59.999Z,0.02,30.1614,0.0000,0.0807,0.1696
SOLEUR,1d,2026-08-04T23:59:59.999Z,63.93,44.1711,0.3632,0.3330,0.2151
WINEUR,1M,2026-07-31T23:59:59.999Z,0.00,33.7979,0.8899,0.3443,0.1381
DOGEEUR,1d,2026-08-04T23:59:59.999Z,0.06,39.9651,0.5054,0.5512,0.4641
ARBEUR,1w,2026-04-12T23:59:59.999Z,0.09,34.3259,0.7487,0.4076,0.2854
DOGEEUR,1w,2026-08-02T23:59:59.999Z,0.06,32.7336,0.0373,0.0891,0.1104
VETEUR,1h,2026-08-05T07:59:59.999Z,0.00,37.7250,0.4092,0.4782,0.5120
PEPEUSDC,1w,2026-08-02T23:59:59.999Z,0.00,40.5757,0.5168,0.5042,0.4468
CHZEUR,1h,2024-08-23T01:59:59.999Z,0.05,68.8934,1.0000,0.9597,0.9463
BABYEUR,1d,2025-09-04T23:59:59.999Z,0.04,39.2852,0.3818,0.4648,0.3436
RUNEEUR,1h,2024-01-26T01:59:59.999Z,3.72,50.2388,0.3181,0.3497,0.3915
ETCEUR,1h,2023-12-29T00:59:59.999Z,20.99,58.3303,0.5025,0.3053,0.1807
PEPEUSDC,1h,2026-08-05T07:59:59.999Z,0.00,38.2995,0.1222,0.1626,0.1414
WLFIEUR,1h,2026-08-05T07:59:59.999Z,0.05,21.9708,0.0000,0.3333,0.6667
BOMEEUR,1h,2025-10-17T01:59:59.999Z,0.00,36.2653,0.3429,0.2453,0.1476
ADAEUR,1w,2026-08-02T23:59:59.999Z,0.16,39.3054,1.0000,0.7722,0.7026
DOTEUR,1h,2026-08-05T07:59:59.999Z,0.74,57.4051,0.1937,0.1165,0.0561
HOTEUR,1h,2023-04-07T04:59:59.999Z,0.00,52.8664,0.9915,0.5659,0.4949
DOTEUR,1M,2026-07-31T23:59:59.999Z,0.66,36.2566,0.0000,-0.0000,-0.0000
SOLUSDC,1d,2026-08-04T23:59:59.999Z,73.72,46.0087,0.4244,0.3853,0.2509
NEAREUR,1h,2026-08-05T07:59:59.999Z,1.50,47.7959,0.8217,0.7906,0.5136
ICPEUR,1M,2026-07-31T23:59:59.999Z,1.79,36.1155,0.0086,0.1476,0.1491
ENJEUR,1w,2023-10-15T23:59:59.999Z,0.20,34.3164,0.0588,0.2018,0.1897
ATOMEUR,1w,2026-08-02T23:59:59.999Z,1.10,31.8332,0.0000,0.0180,0.1301
POLEUR,1h,2026-08-05T07:59:59.999Z,0.07,63.5181,0.8567,0.4935,0.2969
BTCEUR,1d,2026-08-04T23:59:59.999Z,55567.24,48.2571,0.3729,0.2454,0.1402
BABYEUR,1h,2025-09-05T01:59:59.999Z,0.04,29.6018,0.0000,0.0000,0.0000
GALAEUR,1h,2026-02-27T01:59:59.999Z,0.00,44.2564,0.5208,0.5208,0.5748
LTCEUR,1w,2026-08-02T23:59:59.999Z,38.68,36.8806,0.5925,0.7558,0.6760
BTCUSDC,1M,2026-07-31T23:59:59.999Z,62839.63,43.1383,0.0769,0.0681,0.0923
PEPEEUR,1h,2026-08-05T07:59:59.999Z,0.00,37.4780,0.0747,0.1174,0.0924
HOTEUR,1d,2023-04-06T23:59:59.999Z,0.00,51.2092,0.4505,0.4972,0.5125
SOLEUR,1h,2026-08-05T07:59:59.999Z,64.07,51.1476,0.4488,0.5205,0.4651
DOTEUR,1d,2026-08-04T23:59:59.999Z,0.74,56.5199,1.0000,0.9301,0.7056
UNIEUR,1d,2023-05-03T23:59:59.999Z,4.87,38.6089,0.4785,0.3602,0.3362
ENJEUR,1d,2023-10-19T23:59:59.999Z,0.19,33.2363,0.0000,0.1932,0.3286
SEUR,1d,2026-08-04T23:59:59.999Z,0.02,41.7876,0.8676,0.7119,0.4839
RUNEEUR,1w,2024-01-21T23:59:59.999Z,3.91,54.0756,0.0000,0.0403,0.1385
ADAEUR,1M,2026-07-31T23:59:59.999Z,0.15,38.0681,0.0616,0.0205,0.0078
LINKEUR,1w,2026-08-02T23:59:59.999Z,7.25,42.4980,0.6521,0.7329,0.6310
BNBEUR,1w,2026-08-02T23:59:59.999Z,509.31,42.1583,0.3676,0.3010,0.3180
ETHEUR,1d,2026-08-04T23:59:59.999Z,1620.33,49.8311,0.1483,0.1600,0.1149
RENDEREUR,1w,2026-08-02T23:59:59.999Z,1.20,40.0375,0.0000,0.0122,0.0268
BTTEUR,1w,2022-01-16T23:59:59.999Z,0.00,38.8249,0.5829,0.5118,0.5258
POLEUR,1w,2026-08-02T23:59:59.999Z,0.06,36.4428,0.2707,0.5156,0.5978
GRTEUR,1h,2026-02-27T01:59:59.999Z,0.02,36.3537,0.1528,0.1484,0.1458
POLEUR,1d,2026-08-04T23:59:59.999Z,0.06,45.5388,0.7247,0.4544,0.2679
WLFIEUR,1d,2026-08-04T23:59:59.999Z,0.05,38.0612,0.1621,0.1956,0.1556
YFIEUR,1M,2023-09-30T23:59:59.999Z,4931.00,41.1765,0.1230,0.2673,0.3564
SHIBEUR,1w,2026-08-02T23:59:59.999Z,0.00,41.9824,0.7552,0.6183,0.4003
LINKEUR,1d,2026-08-04T23:59:59.999Z,7.07,46.3402,0.1293,0.2084,0.1613
LTCEUR,1h,2026-08-05T07:59:59.999Z,38.87,53.1524,0.0221,0.1261,0.1363
VETEUR,1M,2026-07-31T23:59:59.999Z,0.00,33.1048,0.0467,0.0156,0.0079
GMTEUR,1M,2026-02-28T23:59:59.999Z,0.01,20.0953,0.0000,-0.0000,0.1468
TRUMPEUR,1h,2026-04-17T01:59:59.999Z,2.60,74.4179,0.8960,0.9121,0.9012
OPEUR,1M,2026-01-31T23:59:59.999Z,0.19,38.4064,0.0000,-0.0000,0.0082
ZILEUR,1d,2022-11-17T23:59:59.999Z,0.02,31.9647,0.2469,0.2517,0.2385
WIFEUR,1h,2026-04-17T01:59:59.999Z,0.19,58.2978,0.1553,0.1553,0.1036
ATOMEUR,1M,2026-07-31T23:59:59.999Z,1.07,29.3621,0.0000,0.1009,0.1348
TRUMPEUR,1d,2026-04-16T23:59:59.999Z,2.60,51.2317,1.0000,0.7705,0.6257
SHIBEUR,1d,2026-08-04T23:59:59.999Z,0.00,61.2196,0.5746,0.5633,0.5366
VETEUR,1d,2026-08-04T23:59:59.999Z,0.00,46.3510,0.6000,0.5860,0.5464
IDEUR,1d,2023-10-26T23:59:59.999Z,0.19,63.0110,1.0000,1.0000,0.9657
CHZEUR,1w,2024-08-18T23:59:59.999Z,0.05,34.5467,0.0000,-0.0000,0.0488
AVAXEUR,1w,2026-08-02T23:59:59.999Z,5.66,34.3261,0.4169,0.4204,0.3891
XLMEUR,1w,2026-08-02T23:59:59.999Z,0.15,46.2054,0.3821,0.4446,0.4993
ETHUSDC,1d,2026-08-04T23:59:59.999Z,1868.67,51.3907,0.1667,0.1808,0.1329
AVAXEUR,1h,2026-08-05T07:59:59.999Z,5.78,45.3068,0.5339,0.6257,0.4980
OPEUR,1w,2026-02-22T23:59:59.999Z,0.10,26.5199,0.0000,0.0000,0.0612
NEAREUR,1w,2026-08-02T23:59:59.999Z,1.49,48.0690,0.2674,0.3889,0.4537
CHZEUR,1M,2024-07-31T23:59:59.999Z,0.06,39.6499,0.3373,0.5831,0.7106
PNUTEUR,1d,2026-02-02T23:59:59.999Z,0.05,32.7199,0.0929,0.0310,0.0400
GMTEUR,1h,2026-03-13T01:59:59.999Z,0.01,75.4562,1.0000,1.0000,0.9568
SHIBEUR,1M,2026-07-31T23:59:59.999Z,0.00,38.9600,0.1210,0.0403,0.0438
TRXEUR,1M,2026-07-31T23:59:59.999Z,0.28,65.0756,0.1867,0.2976,0.3664
SHIBEUR,1h,2026-08-05T07:59:59.999Z,0.00,33.1112,0.0000,0.0526,0.0526
SOLUSDC,1h,2026-08-05T07:59:59.999Z,73.92,52.0667,0.4357,0.5210,0.4638
NEAREUR,1d,2026-08-04T23:59:59.999Z,1.50,42.3409,0.7697,0.6126,0.4526
BOMEEUR,1d,2025-10-16T23:59:59.999Z,0.00,33.4735,0.3480,0.4051,0.4603
ICPEUR,1d,2026-08-04T23:59:59.999Z,1.82,43.7138,0.6128,0.5350,0.3258
BOMEEUR,1w,2025-10-12T23:59:59.999Z,0.00,31.6124,0.1311,0.4976,0.7032
WIFEUR,1w,2026-04-12T23:59:59.999Z,0.16,32.4194,0.2639,0.1567,0.0817
PEPEEUR,1w,2026-08-02T23:59:59.999Z,0.00,40.4972,0.5293,0.5350,0.4774
XLMEUR,1h,2026-08-05T07:59:59.999Z,0.14,36.5968,0.4712,0.5102,0.4758
