symbol,interval,time,close,rsi,stochRsi,k,d
ATOMEUR,1M,2026-07-31T23:59:59.999Z,1.07,29.3621,0.0000,0.1009,0.1348
VETEUR,1M,2026-07-31T23:59:59.999Z,0.00,33.1048,0.0467,0.0156,0.0079
SHIBEUR,1M,2026-07-31T23:59:59.999Z,0.00,38.9600,0.1210,0.0403,0.0438
BTCEUR,1M,2026-07-31T23:59:59.999Z,54506.95,42.7827,0.0709,0.0711,0.1006
LUNAEUR,1w,2022-05-08T23:59:59.999Z,61.07,48.6872,0.0091,0.2812,0.3638
RENDEREUR,1d,2026-08-03T23:59:59.999Z,1.18,34.1738,0.2181,0.1916,0.1201
PNUTEUR,1h,2026-02-03T06:59:59.999Z,0.05,49.5921,0.3794,0.2791,0.1526
EDUEUR,1d,2023-10-26T23:59:59.999Z,0.44,59.4059,0.8798,0.9599,0.9665
LINKEUR,1d,2026-08-03T23:59:59.999Z,7.11,47.1237,0.1654,0.1653,0.1061
VETEUR,1d,2026-08-03T23:59:59.999Z,0.00,49.5305,0.6785,0.5367,0.5349
TRUMPEUR,1d,2026-04-16T23:59:59.999Z,2.60,51.2317,1.0000,0.7705,0.6257
ZILEUR,1d,2022-11-17T23:59:59.999Z,0.02,31.9647,0.2469,0.2517,0.2385
APEEUR,1h,2023-12-29T00:59:59.999Z,1.51,32.6132,0.0000,0.2041,0.2774
ETCEUR,1d,2023-12-28T23:59:59.999Z,20.38,59.7469,0.9278,0.7457,0.6616
PEPEEUR,1w,2026-08-02T23:59:59.999Z,0.00,40.4972,0.5293,0.5350,0.4774
WLDEUR,1d,2026-08-03T23:59:59.999Z,0.28,39.4670,0.6425,0.3454,0.1599
GMTEUR,1d,2026-03-12T23:59:59.999Z,0.01,45.5256,0.8797,0.5876,0.4414
SOLUSDC,1h,2026-08-04T06:59:59.999Z,73.37,49.4942,0.2011,0.4382,0.5194
RUNEEUR,1w,2024-01-21T23:59:59.999Z,3.91,54.0756,0.0000,0.0403,0.1385
AVAXEUR,1h,2026-08-04T06:59:59.999Z,5.90,67.0444,0.2754,0.5775,0.7899
ETHEUR,1h,2026-08-04T06:59:59.999Z,1612.35,47.0047,0.2630,0.5849,0.6554
NEAREUR,1w,2026-08-02T23:59:59.999Z,1.49,48.0690,0.2674,0.3889,0.4537
