symbol,interval,time,close,rsi,stochRsi,k,d
LTCEUR,1d,2026-08-02T23:59:59.999Z,38.68,42.3960,0.1065,0.0355,0.0118
LTCEUR,1w,2026-08-02T23:59:59.999Z,38.68,36.8806,0.5925,0.7558,0.6760
LTCEUR,1M,2026-07-31T23:59:59.999Z,38.38,36.7792,0.0535,0.0178,0.0133
LUNAEUR,1h,2022-05-12T23:59:59.999Z,0.00,23.3952,0.5449,0.6757,0.7891
LUNAEUR,1d,2022-05-12T23:59:59.999Z,0.00,14.4165,0.0000,-0.0000,-0.0000
LUNAEUR,1w,2022-05-08T23:59:59.999Z,61.07,48.6872,0.0091,0.2812,0.3638
NEAREUR,1h,2026-08-03T11:59:59.999Z,1.48,51.6494,0.2777,0.6977,0.8373
NEAREUR,1d,2026-08-02T23:59:59.999Z,1.49,40.5507,0.4509,0.3011,0.2257
NEAREUR,1w,2026-08-02T23:59:59.999Z,1.49,48.0690,0.2674,0.3889,0.4537
NEAREUR,1M,2026-07-31T23:59:59.999Z,1.44,40.5527,0.6168,0.7734,0.6098
NOTEUR,1h,2025-02-21T01:59:59.999Z,0.00,67.9616,1.0000,1.0000,1.0000
NOTEUR,1d,2025-02-20T23:59:59.999Z,0.00,35.9125,1.0000,0.8949,0.8978
OPEUR,1h,2026-02-27T01:59:59.999Z,0.10,38.4137,0.8655,0.7369,0.5991
OPEUR,1d,2026-02-26T23:59:59.999Z,0.10,23.5315,0.1986,0.1523,0.0795
OPEUR,1w,2026-02-22T23:59:59.999Z,0.10,26.5199,0.0000,0.0000,0.0612
OPEUR,1M,2026-01-31T23:59:59.999Z,0.19,38.4064,0.0000,-0.0000,0.0082
PEPEEUR,1h,2026-08-03T11:59:59.999Z,0.00,43.6682,0.4772,0.3870,0.2804
PEPEEUR,1d,2026-08-02T23:59:59.999Z,0.00,55.3149,0.5718,0.2517,0.1283
PEPEEUR,1w,2026-08-02T23:59:59.999Z,0.00,40.4972,0.5293,0.5350,0.4774
PEPEUSDC,1h,2026-08-03T11:59:59.999Z,0.00,45.4173,0.4023,0.3043,0.1865
PEPEUSDC,1d,2026-08-02T23:59:59.999Z,0.00,56.7692,0.7026,0.3486,0.2079
PEPEUSDC,1w,2026-08-02T23:59:59.999Z,0.00,40.5757,0.5168,0.5042,0.4468
PNUTEUR,1h,2026-02-03T06:59:59.999Z,0.05,49.5921,0.3794,0.2791,0.1526
PNUTEUR,1d,2026-02-02T23:59:59.999Z,0.05,32.7199,0.0929,0.0310,0.0400
PNUTEUR,1w,2026-02-01T23:59:59.999Z,0.05,31.5089,0.1934,0.4170,0.5655
POLEUR,1h,2026-08-03T11:59:59.999Z,0.06,60.1855,0.6515,0.8838,0.9227
POLEUR,1d,2026-08-02T23:59:59.999Z,0.06,37.5139,0.2733,0.1138,0.0455
POLEUR,1w,2026-08-02T23:59:59.999Z,0.06,36.4428,0.2707,0.5156,0.5978
RENDEREUR,1h,2026-08-03T11:59:59.999Z,1.18,34.0418,0.0536,0.0536,0.0477
RENDEREUR,1d,2026-08-02T23:59:59.999Z,1.20,36.4966,0.3566,0.1189,0.0729
RENDEREUR,1w,2026-08-02T23:59:59.999Z,1.20,40.0375,0.0000,0.0122,0.0268
RUNEEUR,1h,2024-01-26T01:59:59.999Z,3.72,50.2388,0.3181,0.3497,0.3915
RUNEEUR,1d,2024-01-25T23:59:59.999Z,3.72,38.1543,0.3323,0.2687,0.2250
RUNEEUR,1w,2024-01-21T23:59:59.999Z,3.91,54.0756,0.0000,0.0403,0.1385
SEUR,1h,2026-08-03T11:59:59.999Z,0.02,81.5071,1.0000,0.9553,0.7133
SEUR,1d,2026-08-02T23:59:59.999Z,0.02,34.7649,0.3669,0.2515,0.1933
SEUR,1w,2026-08-02T23:59:59.999Z,0.02,30.1614,0.0000,0.0807,0.1696
SHIBEUR,1h,2026-08-03T11:59:59.999Z,0.00,42.5478,0.5934,0.6204,0.5089
SHIBEUR,1d,2026-08-02T23:59:59.999Z,0.00,59.5169,0.5290,0.5017,0.4776
SHIBEUR,1w,2026-08-02T23:59:59.999Z,0.00,41.9824,0.7552,0.6183,0.4003
SHIBEUR,1M,2026-07-31T23:59:59.999Z,0.00,38.9600,0.1210,0.0403,0.0438
SOLEUR,1h,2026-08-03T11:59:59.999Z,62.75,38.2845,0.1924,0.2762,0.2029
SOLEUR,1d,2026-08-02T23:59:59.999Z,63.72,43.3143,0.3012,0.1004,0.0620
SOLEUR,1w,2026-08-02T23:59:59.999Z,63.72,38.5687,0.6210,0.7388,0.8006
SOLEUR,1M,2026-07-31T23:59:59.999Z,63.15,40.5473,0.0000,-0.0000,0.0004
SOLUSDC,1h,2026-08-03T11:59:59.999Z,72.37,39.1554,0.1852,0.2317,0.1658
SOLUSDC,1d,2026-08-02T23:59:59.999Z,73.56,45.4052,0.3703,0.1234,0.1081
SOLUSDC,1w,2026-08-02T23:59:59.999Z,73.56,38.4265,0.6074,0.6945,0.7462
SOLUSDC,1M,2026-07-31T23:59:59.999Z,72.80,39.1632,0.0000,-0.0000,0.0000
SUIEUR,1h,2026-08-03T11:59:59.999Z,0.59,46.9311,0.6055,0.4482,0.2739
SUIEUR,1d,2026-08-02T23:59:59.999Z,0.60,39.8125,0.1799,0.0632,0.0568
SUIEUR,1w,2026-08-02T23:59:59.999Z,0.60,36.1957,0.1174,0.2022,0.2510
SUIEUR,1M,2026-07-31T23:59:59.999Z,0.59,38.8271,0.0000,0.0019,0.0038
TRUMPEUR,1h,2026-04-17T01:59:59.999Z,2.60,74.4179,0.8960,0.9121,0.9012
TRUMPEUR,1d,2026-04-16T23:59:59.999Z,2.60,51.2317,1.0000,0.7705,0.6257
TRUMPEUR,1w,2026-04-12T23:59:59.999Z,2.40,30.6488,0.4490,0.4811,0.5752
TRXEUR,1h,2026-08-03T11:59:59.999Z,0.28,55.5146,0.7790,0.9263,0.8519
TRXEUR,1d,2026-08-02T23:59:59.999Z,0.28,43.9651,0.0917,0.1078,0.0979
TRXEUR,1w,2026-08-02T23:59:59.999Z,0.28,51.8500,0.0310,0.1481,0.1952
TRXEUR,1M,2026-07-31T23:59:59.999Z,0.28,65.0756,0.1867,0.2976,0.3664
UNIEUR,1h,2023-05-04T01:59:59.999Z,4.86,58.3619,0.8087,0.8399,0.9036
UNIEUR,1d,2023-05-03T23:59:59.999Z,4.87,38.6089,0.4785,0.3602,0.3362
UNIEUR,1w,2023-04-30T23:59:59.999Z,4.98,41.8787,0.0215,0.1263,0.2043
VETEUR,1h,2026-08-03T11:59:59.999Z,0.00,44.0776,0.5132,0.7769,0.6080
VETEUR,1d,2026-08-02T23:59:59.999Z,0.00,45.9219,0.4794,0.5167,0.4896
VETEUR,1w,2026-08-02T23:59:59.999Z,0.00,30.3128,0.2571,0.2637,0.2701
VETEUR,1M,2026-07-31T23:59:59.999Z,0.00,33.1048,0.0467,0.0156,0.0079
WIFEUR,1h,2026-04-17T01:59:59.999Z,0.19,58.2978,0.1553,0.1553,0.1036
WIFEUR,1d,2026-04-16T23:59:59.999Z,0.19,62.7276,1.0000,0.6650,0.5743
WIFEUR,1w,2026-04-12T23:59:59.999Z,0.16,32.4194,0.2639,0.1567,0.0817
WINEUR,1h,2026-08-03T11:59:59.999Z,0.00,88.9458,1.0000,0.9240,0.9252
WINEUR,1d,2026-08-02T23:59:59.999Z,0.00,71.6721,0.5526,0.6707,0.7254
WINEUR,1w,2026-08-02T23:59:59.999Z,0.00,60.3653,1.0000,1.0000,1.0000
WINEUR,1M,2026-07-31T23:59:59.999Z,0.00,33.7979,0.8899,0.3443,0.1381
WLDEUR,1h,2026-08-03T11:59:59.999Z,0.27,43.4242,0.0839,0.0464,0.0216
WLDEUR,1d,2026-08-02T23:59:59.999Z,0.27,35.9301,0.3846,0.1313,0.0448
WLDEUR,1w,2026-08-02T23:59:59.999Z,0.27,41.3598,0.3969,0.4597,0.5217
WLFIEUR,1h,2026-08-03T11:59:59.999Z,0.05,43.3365,0.0000,0.0000,0.0000
WLFIEUR,1d,2026-08-02T23:59:59.999Z,0.05,41.4164,0.3891,0.1297,0.0565
WLFIEUR,1w,2026-08-02T23:59:59.999Z,0.05,29.4908,0.6878,0.7609,0.7940
XLMEUR,1h,2026-08-03T11:59:59.999Z,0.15,43.7366,0.6634,0.4608,0.3022
XLMEUR,1d,2026-08-02T23:59:59.999Z,0.15,40.1847,0.2410,0.0835,0.0299
XLMEUR,1w,2026-08-02T23:59:59.999Z,0.15,46.2054,0.3821,0.4446,0.4993
XLMEUR,1M,2026-07-31T23:59:59.999Z,0.15,46.3575,0.1191,0.2685,0.2275
XRPEUR,1h,2026-08-03T11:59:59.999Z,0.92,34.3540,0.0000,0.1952,0.1677
XRPEUR,1d,2026-08-02T23:59:59.999Z,0.94,45.0949,0.3442,0.1147,0.0515
XRPEUR,1w,2026-08-02T23:59:59.999Z,0.94,33.8724,0.4295,0.4853,0.4837
XRPEUR,1M,2026-07-31T23:59:59.999Z,0.92,40.9279,0.0078,0.0026,0.0022
YFIEUR,1h,2023-10-13T05:59:59.999Z,4835.00,50.7894,0.8404,0.8404,0.8936
YFIEUR,1d,2023-10-12T23:59:59.999Z,4841.00,41.4554,0.0592,0.0326,0.0768
YFIEUR,1w,2023-10-08T23:59:59.999Z,5065.00,39.8301,0.3521,0.2624,0.1643
YFIEUR,1M,2023-09-30T23:59:59.999Z,4931.00,41.1765,0.1230,0.2673,0.3564
ZILEUR,1h,2022-11-18T01:59:59.999Z,0.02,52.8865,1.0000,0.8343,0.7535
ZILEUR,1d,2022-11-17T23:59:59.999Z,0.02,31.9647,0.2469,0.2517,0.2385
ADAEUR,1h,2026-08-03T14:59:59.999Z,0.16,57.6203,0.5610,0.7812,0.7209
ADAEUR,1d,2026-08-02T23:59:59.999Z,0.16,64.9787,1.0000,0.8781,0.7507
ADAEUR,1w,2026-08-02T23:59:59.999Z,0.16,39.3054,1.0000,0.7722,0.7026
ADAEUR,1M,2026-07-31T23:59:59.999Z,0.15,38.0681,0.0616,0.0205,0.0078
APEEUR,1h,2023-12-29T00:59:59.999Z,1.51,32.6132,0.0000,0.2041,0.2774
APEEUR,1d,2023-12-28T23:59:59.999Z,1.54,50.3128,0.3488,0.4707,0.5682
APEEUR,1w,2023-12-24T23:59:59.999Z,1.57,45.7393,0.9108,0.9266,0.9512
APTEUR,1h,2026-08-03T14:59:59.999Z,0.49,66.5870,1.0000,0.8881,0.7412
APTEUR,1d,2026-08-02T23:59:59.999Z,0.49,38.5510,0.2501,0.1648,0.1635
APTEUR,1w,2026-08-02T23:59:59.999Z,0.49,30.8510,0.2119,0.2751,0.2902
APTEUR,1M,2026-07-31T23:59:59.999Z,0.48,35.5348,0.0000,0.0102,0.0198
ARBEUR,1h,2026-04-17T01:59:59.999Z,0.11,56.5173,0.0000,0.1140,0.1671
ARBEUR,1d,2026-04-16T23:59:59.999Z,0.11,72.2853,1.0000,0.7764,0.7162
ARBEUR,1w,2026-04-12T23:59:59.999Z,0.09,34.3259,0.7487,0.4076,0.2854
ARBEUR,1M,2026-03-31T23:59:59.999Z,0.08,32.9784,0.0000,0.0000,0.0000
ATOMEUR,1h,2026-08-03T14:59:59.999Z,1.15,81.9847,1.0000,0.8241,0.8378
ATOMEUR,1d,2026-08-02T23:59:59.999Z,1.10,26.5645,0.5022,0.1674,0.0558
ATOMEUR,1w,2026-08-02T23:59:59.999Z,1.10,31.8332,0.0000,0.0180,0.1301
ATOMEUR,1M,2026-07-31T23:59:59.999Z,1.07,29.3621,0.0000,0.1009,0.1348
AVAXEUR,1h,2026-08-03T14:59:59.999Z,5.66,57.5798,1.0000,0.8702,0.6395
AVAXEUR,1d,2026-08-02T23:59:59.999Z,5.66,48.3012,0.6002,0.2783,0.2622
AVAXEUR,1w,2026-08-02T23:59:59.999Z,5.66,34.3261,0.4169,0.4204,0.3891
AVAXEUR,1M,2026-07-31T23:59:59.999Z,5.54,39.0978,0.0000,-0.0000,0.0008
BABYEUR,1h,2025-09-05T01:59:59.999Z,0.04,29.6018,0.0000,0.0000,0.0000
BABYEUR,1d,2025-09-04T23:59:59.999Z,0.04,39.2852,0.3818,0.4648,0.3436
BCHEUR,1h,2026-08-03T14:59:59.999Z,182.60,48.1108,0.8819,0.7640,0.5759
BCHEUR,1d,2026-08-02T23:59:59.999Z,184.20,43.5382,0.5189,0.2631,0.3328
BCHEUR,1w,2026-08-02T23:59:59.999Z,184.20,30.6780,0.3130,0.3239,0.3555
BCHEUR,1M,2026-07-31T23:59:59.999Z,182.30,37.4744,0.0284,0.0095,0.0545
BNBEUR,1h,2026-08-03T14:59:59.999Z,511.42,64.7879,1.0000,0.9338,0.8303
BNBEUR,1d,2026-08-02T23:59:59.999Z,509.31,54.0751,0.6914,0.5372,0.6177
BNBEUR,1w,2026-08-02T23:59:59.999Z,509.31,42.1583,0.3676,0.3010,0.3180
BNBEUR,1M,2026-07-31T23:59:59.999Z,508.80,46.3698,0.0585,0.0784,0.0685
BOMEEUR,1h,2025-10-17T01:59:59.999Z,0.00,36.2653,0.3429,0.2453,0.1476
BOMEEUR,1d,2025-10-16T23:59:59.999Z,0.00,33.4735,0.3480,0.4051,0.4603
BOMEEUR,1w,2025-10-12T23:59:59.999Z,0.00,31.6124,0.1311,0.4976,0.7032
BTCEUR,1h,2026-08-03T14:59:59.999Z,55496.67,68.9478,1.0000,0.7923,0.5363
BTCEUR,1d,2026-08-02T23:59:59.999Z,55023.08,44.7471,0.1621,0.0540,0.0550
BTCEUR,1w,2026-08-02T23:59:59.999Z,55023.08,38.7457,0.3216,0.4050,0.3906
BTCEUR,1M,2026-07-31T23:59:59.999Z,54506.95,42.7827,0.0709,0.0711,0.1006
BTCUSDC,1h,2026-08-03T14:59:59.999Z,63905.32,67.8383,1.0000,0.7829,0.5206
BTCUSDC,1d,2026-08-02T23:59:59.999Z,63519.12,47.6700,0.2144,0.0715,0.1105
BTCUSDC,1w,2026-08-02T23:59:59.999Z,63519.12,38.8537,0.3252,0.3734,0.3540
BTCUSDC,1M,2026-07-31T23:59:59.999Z,62839.63,43.1383,0.0769,0.0681,0.0923
BTTEUR,1h,2022-01-17T02:59:59.999Z,0.00,78.1190,0.9151,0.9717,0.9904
BTTEUR,1d,2022-01-16T23:59:59.999Z,0.00,49.1477,0.8424,0.5431,0.4163
BTTEUR,1w,2022-01-16T23:59:59.999Z,0.00,38.8249,0.5829,0.5118,0.5258
CHZEUR,1h,2024-08-23T01:59:59.999Z,0.05,68.8934,1.0000,0.9597,0.9463
CHZEUR,1d,2024-08-22T23:59:59.999Z,0.05,48.7637,1.0000,0.9928,0.9355
CHZEUR,1w,2024-08-18T23:59:59.999Z,0.05,34.5467,0.0000,-0.0000,0.0488
CHZEUR,1M,2024-07-31T23:59:59.999Z,0.06,39.6499,0.3373,0.5831,0.7106
DOGEEUR,1h,2026-08-03T14:59:59.999Z,0.06,59.8860,1.0000,0.8110,0.5667
DOGEEUR,1d,2026-08-02T23:59:59.999Z,0.06,41.4933,0.5993,0.3783,0.3671
DOGEEUR,1w,2026-08-02T23:59:59.999Z,0.06,32.7336,0.0373,0.0891,0.1104
DOGEEUR,1M,2026-07-31T23:59:59.999Z,0.06,40.8553,0.0000,0.0292,0.0592
DOTEUR,1h,2026-08-03T14:59:59.999Z,0.72,75.6000,0.8935,0.9645,0.9677
DOTEUR,1d,2026-08-02T23:59:59.999Z,0.69,42.3626,0.7902,0.4267,0.2067
DOTEUR,1w,2026-08-02T23:59:59.999Z,0.69,28.1482,0.1572,0.2042,0.2345
DOTEUR,1M,2026-07-31T23:59:59.999Z,0.66,36.2566,0.0000,-0.0000,-0.0000
EDUEUR,1h,2023-10-27T05:59:59.999Z,0.44,35.6846,0.0000,-0.0000,-0.0000
EDUEUR,1d,2023-10-26T23:59:59.999Z,0.44,59.4059,0.8798,0.9599,0.9665
ENAEUR,1h,2024-08-23T01:59:59.999Z,0.28,67.9792,1.0000,0.9093,0.7377
ENAEUR,1d,2024-08-22T23:59:59.999Z,0.27,40.4196,0.5424,0.5533,0.5734
ENJEUR,1h,2023-10-20T03:59:59.999Z,0.19,38.6866,0.4951,0.4951,0.4401
ENJEUR,1d,2023-10-19T23:59:59.999Z,0.19,33.2363,0.0000,0.1932,0.3286
ENJEUR,1w,2023-10-15T23:59:59.999Z,0.20,34.3164,0.0588,0.2018,0.1897
ETCEUR,1h,2023-12-29T00:59:59.999Z,20.99,58.3303,0.5025,0.3053,0.1807
ETCEUR,1d,2023-12-28T23:59:59.999Z,20.38,59.7469,0.9278,0.7457,0.6616
ETCEUR,1w,2023-12-24T23:59:59.999Z,19.09,56.8459,0.7219,0.7848,0.8287
ETHEUR,1h,2026-08-03T14:59:59.999Z,1625.60,58.8090,1.0000,0.7477,0.4651
ETHEUR,1d,2026-08-02T23:59:59.999Z,1630.77,51.2298,0.2221,0.0740,0.0247
ETHEUR,1w,2026-08-02T23:59:59.999Z,1630.77,41.9565,0.8141,0.8648,0.7726
ETHEUR,1M,2026-07-31T23:59:59.999Z,1614.50,42.9880,0.1380,0.0626,0.0734
ETHUSDC,1h,2026-08-03T14:59:59.999Z,1872.15,57.6784,1.0000,0.7156,0.4420
ETHUSDC,1d,2026-08-02T23:59:59.999Z,1883.69,53.1822,0.2779,0.0926,0.1214
ETHUSDC,1w,2026-08-02T23:59:59.999Z,1883.69,41.9585,0.7816,0.8003,0.7086
ETHUSDC,1M,2026-07-31T23:59:59.999Z,1860.99,43.2298,0.1355,0.0575,0.0648
GALAEUR,1h,2026-02-27T01:59:59.999Z,0.00,44.2564,0.5208,0.5208,0.5748
GALAEUR,1d,2026-02-26T23:59:59.999Z,0.00,37.2507,0.7125,0.6718,0.5079
GALAEUR,1w,2026-02-22T23:59:59.999Z,0.00,27.8116,0.0000,-0.0000,0.0302
GALAEUR,1M,2026-01-31T23:59:59.999Z,0.00,30.1474,0.0000,0.0594,0.1625
GMTEUR,1h,2026-03-13T01:59:59.999Z,0.01,75.4562,1.0000,1.0000,0.9568
GMTEUR,1d,2026-03-12T23:59:59.999Z,0.01,45.5256,0.8797,0.5876,0.4414
GMTEUR,1w,2026-03-08T23:59:59.999Z,0.01,28.2723,0.2295,0.2749,0.3121
GMTEUR,1M,2026-02-28T23:59:59.999Z,0.01,20.0953,0.0000,-0.0000,0.1468
GRTEUR,1h,2026-02-27T01:59:59.999Z,0.02,36.3537,0.1528,0.1484,0.1458
GRTEUR,1d,2026-02-26T23:59:59.999Z,0.02,42.0242,0.5957,0.6936,0.6458
GRTEUR,1w,2026-02-22T23:59:59.999Z,0.02,25.9219,0.0000,0.0017,0.0133
GRTEUR,1M,2026-01-31T23:59:59.999Z,0.03,39.1927,0.0000,0.0000,0.0000
HOTEUR,1h,2023-04-07T04:59:59.999Z,0.00,52.8664,0.9915,0.5659,0.4949
HOTEUR,1d,2023-04-06T23:59:59.999Z,0.00,51.2092,0.4505,0.4972,0.5125
HOTEUR,1w,2023-04-02T23:59:59.999Z,0.00,47.4727,0.7086,0.6411,0.5714
ICPEUR,1h,2026-08-03T14:59:59.999Z,1.81,64.6561,1.0000,1.0000,0.8619
ICPEUR,1d,2026-08-02T23:59:59.999Z,1.79,39.7168,0.3349,0.1116,0.0419
ICPEUR,1w,2026-08-02T23:59:59.999Z,1.79,41.3773,0.0130,0.0948,0.1339
ICPEUR,1M,2026-07-31T23:59:59.999Z,1.79,36.1155,0.0086,0.1476,0.1491
IDEUR,1h,2023-10-27T05:59:59.999Z,0.19,37.9103,0.0000,0.0000,0.0520
IDEUR,1d,2023-10-26T23:59:59.999Z,0.19,63.0110,1.0000,1.0000,0.9657
JASMYEUR,1h,2023-05-18T01:59:59.999Z,0.00,49.2469,0.2384,0.6022,0.7784
JASMYEUR,1d,2023-05-17T23:59:59.999Z,0.00,39.0072,0.1752,0.1203,0.0965
JASMYEUR,1w,2023-05-14T23:59:59.999Z,0.00,42.7278,0.2189,0.7155,0.8091
LINKEUR,1h,2026-08-03T14:59:59.999Z,7.20,55.5584,1.0000,0.6160,0.3010
LINKEUR,1d,2026-08-02T23:59:59.999Z,7.25,50.7062,0.3306,0.1102,0.0653
LINKEUR,1w,2026-08-02T23:59:59.999Z,7.25,42.4980,0.6521,0.7329,0.6310
